Data Upto:01-15-2022
Date,Strike,Call OI, Put OI, normalized CallOI,normalized Put OI
2021-12-10T00:00:00,1145,1284,437,0.07000708794504117,0.005521022842126542
2021-12-10T00:00:00,1150,8536,737,0.46540537593370046,0.009311198706286638
2021-12-10T00:00:00,1155,1044,355,0.05692165094596805,0.0044850414392561145
2021-12-10T00:00:00,1160,3181,471,0.17343656289188158,0.005950576106731352
2021-12-10T00:00:00,1165,1242,372,0.06771713647020337,0.00469981807155852
2021-12-10T00:00:00,1170,1953,495,0.10648274357995748,0.00625379017586416
2021-12-10T00:00:00,1175,2497,140,0.1361430674445232,0.0017687487366080453
2021-12-10T00:00:00,1180,1955,3091,0.10659178888828308,0.0390514453203962
2021-12-10T00:00:00,1185,511,211,0.027861076277193173,0.0026657570244592683
2021-12-10T00:00:00,1190,1323,159,0.07213347145739055,0.0020087932080048512
